iter	Passed	Remaining
146	5134	29793
147	5164	29731
148	5199	29695
149	5229	29635
150	5263	29593
151	5292	29528
152	5326	29486
153	5359	29442
154	5388	29375
155	5419	29318
156	5450	29264
157	5480	29203
158	5511	29151
159	5551	29146
160	5595	29160
161	5625	29099
162	5658	29058
163	5694	29028
164	5725	28972
165	5758	28932
166	5790	28884
167	5822	28834
168	5854	28786
169	5888	28747
170	5921	28704
171	5953	28659
172	5987	28621
173	6019	28575
174	6049	28517
175	6082	28478
176	6116	28441
177	6149	28396
178	6184	28365
179	6216	28320
180	6248	28275
181	6282	28238
182	6317	28202
183	6348	28155
184	6376	28089
185	6409	28049
186	6436	27982
187	6471	27952
188	6508	27927
189	6544	27899
190	6579	27866
191	6613	27833
192	6649	27803
193	6684	27770
194	6717	27731
195	6750	27690
196	6782	27647
197	6815	27606
198	6841	27539
199	6874	27497
200	6910	27468
201	6944	27435
202	6985	27425
203	7021	27398
204	7056	27364
205	7091	27331
206	7129	27313
207	7160	27263
208	7192	27221
209	7228	27193
210	7263	27162
211	7299	27131
212	7332	27094
213	7363	27046
214	7398	27014
215	7430	26968
216	7465	26938
217	7497	26894
218	7528	26847
219	7558	26797
220	7588	26746
221	7621	26710
222	7654	26670
223	7684	26620
224	7717	26583
225	7747	26535
226	7778	26487
227	7811	26448
228	7844	26411
229	7874	26363
230	7905	26317
231	7940	26287
232	7972	26245
233	8006	26208
234	8039	26171
235	8073	26135
236	8108	26103
237	8140	26064
238	8173	26026
239	8203	25976
240	8235	25936
241	8264	25885
242	8297	25847
243	8327	25801
244	8359	25761
245	8393	25726
246	8425	25686
247	8458	25649
248	8488	25601
249	8525	25576
250	8565	25560
251	8605	25543
252	8637	25502
253	8669	25461
254	8705	25434
255	8741	25405
256	8769	25352
257	8801	25311
258	8829	25261
259	8858	25212
260	8890	25173
261	8922	25133
262	8954	25093
263	8995	25078
264	9027	25039
265	9059	24998
266	9092	24960
267	9121	24913
268	9151	24868
269	9181	24824
270	9215	24789
271	9248	24753
272	9280	24713
273	9310	24668
274	9338	24618
275	9368	24576
276	9402	24542
277	9435	24506
278	9467	24465
279	9498	24425
280	9531	24388
281	9559	24339
282	9588	24293
283	9618	24249
284	9649	24208
285	9680	24167
286	9713	24130
287	9747	24097
288	9783	24070
289	9817	24036
290	9849	23997
291	9876	23947
292	9905	23902
293	9937	23864
294	9970	23827
295	10001	23786
296	10030	23742
297	10063	23706
298	10097	23673
299	10131	23641
300	10163	23602
301	10195	23565
302	10230	23533
303	10264	23500
304	10297	23464
305	10326	23420
306	10356	23377
307	10388	23339
308	10419	23299
309	10449	23259
310	10479	23216
311	10509	23175
312	10539	23132
313	10570	23093
314	10600	23050
315	10634	23019
316	10667	22984
317	10698	22944
318	10726	22899
319	10755	22854
320	10785	22814
321	10816	22775
322	10848	22737
323	10878	22696
324	10908	22656
325	10938	22616
326	10970	22579
327	11005	22547
328	11037	22510
329	11067	22471
330	11094	22424
331	11125	22384
332	11159	22352
333	11190	22314
334	11225	22282
335	11257	22247
336	11291	22214
337	11325	22182
338	11353	22136
339	11383	22097
340	11412	22055
341	11439	22008
342	11467	21965
343	11499	21929
344	11529	21889
345	11559	21848
346	11590	21812
347	11623	21776
348	11652	21735
349	11683	21697
350	11719	21670
351	11777	21681
352	11837	21697
353	11886	21691
354	11919	21656
355	11957	21631
356	12001	21615
357	12039	21590
358	12099	21603
359	12268	21810
360	12434	22009
361	12550	22119
362	12712	22308
363	12845	22444
364	12965	22555
365	13111	22712
366	13248	22850
367	13361	22946
368	13466	23028
369	13583	23128
370	13750	23312
371	13883	23437
372	14008	23547
373	14104	23608
374	14163	23605
375	14267	23677
376	14368	23743
377	14557	23953
378	14713	24107
379	14847	24225
380	15008	24384
381	15150	24510
382	15253	24572
383	15439	24767
384	15651	25002
385	15793	25121
386	15940	25249
387	16092	25382
388	16239	25508
389	16462	25749
390	16603	25860
391	16764	26001
392	16909	26116
393	16963	26091
394	17009	26053
395	17052	26009
396	17091	25959
397	17124	25901
398	17163	25852
399	17199	25799
400	17235	25745
401	17278	25702
402	17310	25643
403	17340	25581
404	17374	25525
405	17408	25470
406	17443	25415
407	17473	25354
408	17503	25292
409	17536	25236
410	17569	25178
411	17598	25116
412	17628	25054
413	17662	25000
414	17694	24942
415	17725	24883
416	17757	24826
417	17788	24767
418	17815	24703
419	17846	24645
420	17877	24586
421	17908	24529
422	17939	24471
423	17971	24414
424	18001	24354
425	18028	24292
426	18058	24233
427	18089	24176
428	18128	24128
429	18162	24076
430	18189	24013
431	18216	23950
432	18245	23892
433	18279	23838
434	18308	23780
435	18338	23722
436	18372	23669
437	18404	23614
438	18438	23562
439	18469	23506
440	18502	23453
441	18530	23393
442	18561	23337
443	18591	23281
444	18623	23226
445	18652	23168
446	18685	23116
447	18719	23064
448	18752	23012
449	18786	22961
450	18819	22908
451	18849	22852
452	18881	22799
453	18909	22741
454	18940	22686
455	18968	22628
456	18999	22574
457	19033	22523
458	19068	22475
459	19096	22417
460	19125	22362
461	19157	22308
462	19185	22251
463	19220	22203
464	19253	22152
465	19283	22097
466	19317	22047
467	19344	21989
468	19372	21934
469	19410	21888
470	19441	21835
471	19473	21784
472	19507	21734
473	19541	21685
474	19575	21636
475	19606	21584
476	19639	21533
477	19672	21483
478	19705	21433
479	19741	21386
480	19773	21335
481	19804	21283
482	19833	21230
483	19867	21181
484	19898	21129
485	19923	21071
486	19952	21017
487	19982	20965
488	20009	20910
489	20039	20857
490	20067	20802
491	20100	20754
492	20131	20703
493	20161	20650
494	20187	20595
495	20221	20548
496	20252	20496
497	20284	20447
498	20317	20398
499	20347	20347
500	20377	20296
501	20410	20248
502	20446	20202
503	20484	20159
504	20514	20107
505	20545	20058
506	20580	20012
507	20609	19960
508	20640	19910
509	20676	19865
510	20704	19813
511	20741	19769
512	20777	19724
513	20804	19671
514	20833	19620
515	20867	19573
516	20900	19526
517	20930	19475
518	20957	19423
519	20982	19368
520	21015	19320
521	21049	19275
522	21076	19222
523	21110	19176
524	21144	19130
525	21174	19081
526	21203	19031
527	21234	18982
528	21268	18936
529	21300	18888
530	21328	18837
531	21358	18789
532	21389	18741
533	21419	18691
534	21453	18646
535	21489	18602
536	21519	18554
537	21551	18506
538	21582	18459
539	21614	18412
540	21644	18364
541	21677	18318
542	21709	18271
543	21740	18223
544	21775	18179
545	21805	18131
546	21838	18085
547	21869	18038
548	21902	17992
549	21935	17947
550	21965	17899
551	21995	17851
552	22024	17803
553	22061	17761
554	22093	17714
555	22124	17667
556	22154	17619
557	22186	17574
558	22214	17525
559	22246	17479
560	22280	17435
561	22310	17387
562	22337	17338
563	22367	17290
564	22395	17242
565	22422	17192
566	22452	17146
567	22481	17098
568	22512	17052
569	22543	17006
570	22573	16959
571	22605	16914
572	22637	16869
573	22672	16826
574	22705	16782
575	22765	16758
576	22800	16715
577	22832	16669
578	22859	16621
579	22888	16574
580	22917	16527
581	22946	16480
582	22974	16432
583	23006	16387
584	23034	16340
585	23070	16298
586	23102	16254
587	23134	16209
588	23165	16164
589	23194	16118
590	23226	16073
591	23259	16030
592	23292	15986
593	23326	15943
594	23357	15898
595	23387	15853
596	23421	15810
597	23449	15763
598	23481	15719
599	23518	15679
600	23550	15635
601	23582	15591
602	23615	15547
603	23647	15503
604	23677	15458
605	23705	15412
606	23737	15368
607	23769	15325
608	23805	15284
609	23837	15240
610	23868	15196
611	23901	15153
612	23934	15110
613	23964	15065
614	23996	15022
615	24024	14976
616	24053	14931
617	24082	14885
618	24109	14839
619	24136	14793
620	24166	14748
621	24195	14703
622	24225	14659
623	24251	14613
624	24277	14566
625	24310	14524
626	24340	14479
627	24373	14438
628	24404	14394
629	24435	14350
630	24463	14305
631	24494	14262
632	24525	14219
633	24557	14176
634	24589	14134
635	24622	14091
636	24654	14049
637	24688	14008
638	24721	13966
639	24752	13923
640	24782	13879
641	24810	13835
642	24843	13793
643	24875	13751
644	24906	13708
645	24936	13664
646	24968	13622
647	24997	13578
648	25028	13536
649	25060	13494
650	25090	13450
651	25120	13407
652	25152	13366
653	25182	13322
654	25211	13279
655	25242	13236
656	25268	13191
657	25297	13148
658	25327	13105
659	25357	13062
660	25384	13018
661	25414	12975
662	25441	12931
663	25471	12889
664	25502	12847
665	25532	12804
666	25562	12761
667	25593	12720
668	25624	12678
669	25656	12636
670	25684	12593
671	25713	12550
672	25745	12509
673	25775	12466
674	25802	12423
675	25836	12383
676	25865	12340
677	25895	12298
678	25930	12258
679	25960	12216
680	25996	12177
681	26024	12134
682	26050	12090
683	26085	12051
684	26119	12011
685	26151	11970
686	26180	11927
687	26209	11885
688	26236	11842
689	26268	11802
690	26300	11761
691	26332	11720
692	26363	11679
693	26391	11636
694	26422	11595
695	26452	11553
696	26485	11513
697	26517	11473
698	26545	11430
699	26572	11388
700	26602	11346
701	26632	11305
702	26664	11265
703	26699	11225
704	26737	11187
705	26770	11147
706	26798	11106
707	26828	11065
708	26858	11023
709	26885	10981
710	26916	10940
711	26951	10901
712	26982	10861
713	27016	10821
714	27080	10794
715	27118	10756
716	27145	10714
717	27173	10672
718	27203	10631
719	27232	10590
720	27256	10547
721	27287	10506
722	27314	10464
723	27341	10423
724	27369	10381
725	27403	10342
726	27433	10301
727	27460	10260
728	27494	10220
729	27526	10181
730	27556	10140
731	27590	10101
732	27622	10061
733	27654	10021
734	27686	9982
735	27717	9942
736	27745	9901
737	27779	9861
738	27811	9822
739	27845	9783
740	27873	9742
741	27901	9701
742	27935	9662
743	27962	9621
744	27992	9581
745	28025	9542
746	28055	9502
747	28087	9462
748	28119	9423
749	28148	9382
750	28181	9343
751	28210	9303
752	28237	9262
753	28264	9221
754	28292	9181
755	28321	9140
756	28353	9101
757	28379	9060
758	28410	9021
759	28438	8980
760	28472	8941
761	28502	8902
762	28531	8862
763	28556	8821
764	28584	8780
765	28617	8742
766	28649	8703
767	28677	8662
768	28707	8623
769	28740	8584
770	28774	8546
771	28805	8507
772	28836	8468
773	28864	8428
774	28896	8389
775	28924	8349
776	28953	8309
777	28981	8269
778	29017	8232
779	29050	8193
780	29082	8155
781	29111	8115
782	29145	8077
783	29174	8037
784	29200	7997
785	29227	7957
786	29259	7918
787	29287	7879
788	29320	7841
789	29348	7801
790	29378	7762
791	29403	7722
792	29434	7683
793	29465	7644
794	29495	7605
795	29525	7566
796	29554	7527
797	29586	7489
798	29618	7451
799	29644	7411
800	29676	7372
801	29706	7333
802	29739	7295
803	29768	7257
804	29801	7218
805	29833	7180
806	29862	7141
807	29891	7103
808	29916	7063
809	29947	7024
810	29974	6985
811	30004	6946
812	30032	6907
813	30067	6870
814	30102	6833
815	30129	6793
816	30161	6755
817	30190	6717
818	30220	6678
819	30256	6641
820	30286	6603
821	30316	6564
822	30343	6525
823	30373	6487
824	30398	6448
825	30430	6410
826	30455	6370
827	30486	6333
828	30518	6295
829	30553	6257
830	30582	6219
831	30610	6181
832	30643	6143
833	30677	6106
834	30712	6068
835	30743	6031
836	30774	5993
837	30816	5957
838	30850	5920
839	30882	5882
840	30910	5844
841	30944	5806
842	30974	5768
843	31005	5730
844	31034	5692
845	31068	5655
846	31102	5618
847	31133	5580
848	31160	5542
849	31189	5503
850	31220	5466
851	31251	5428
852	31282	5390
853	31309	5352
854	31336	5314
855	31366	5276
856	31392	5238
857	31423	5200
858	31454	5163
859	31487	5125
860	31516	5088
861	31547	5050
862	31576	5012
863	31602	4974
864	31631	4936
865	31659	4898
866	31691	4861
867	31721	4823
868	31751	4786
869	31779	4748
870	31809	4711
871	31836	4673
872	31866	4635
873	31902	4599
874	31933	4561
875	31964	4524
876	31993	4487
877	32022	4449
878	32054	4412
879	32085	4375
880	32117	4338
881	32146	4300
882	32179	4263
883	32211	4226
884	32243	4189
885	32279	4153
886	32308	4115
887	32338	4078
888	32368	4041
889	32398	4004
890	32433	3967
891	32465	3930
892	32494	3893
893	32523	3856
894	32556	3819
895	32589	3782
896	32621	3745
897	32654	3709
898	32685	3672
899	32716	3635
900	32751	3598
901	32780	3561
902	32813	3524
903	32848	3488
904	32877	3451
905	32908	3414
906	32940	3377
907	32969	3340
908	33000	3303
909	33029	3266
910	33067	3230
911	33098	3193
912	33127	3156
913	33159	3120
914	33189	3083
915	33219	3046
916	33248	3009
917	33277	2972
918	33308	2935
919	33336	2898
920	33368	2862
921	33399	2825
922	33430	2788
923	33460	2752
924	33486	2715
925	33512	2678
926	33543	2641
927	33577	2605
928	33613	2568
929	33643	2532
930	33677	2495
931	33707	2459
932	33740	2422
933	33773	2386
934	33804	2350
935	33839	2313
936	33872	2277
937	33909	2241
938	33941	2204
939	33974	2168
940	34006	2132
941	34036	2095
942	34065	2059
943	34097	2022
944	34140	1987
945	34175	1950
946	34214	1914
947	34251	1878
948	34290	1842
949	34320	1806
950	34354	1770
951	34387	1733
952	34421	1697
953	34456	1661
954	34485	1624
955	34511	1588
956	34541	1552
957	34572	1515
958	34601	1479
959	34631	1442
960	34659	1406
961	34692	1370
962	34724	1334
963	34764	1298
964	34805	1262
965	34838	1226
966	34871	1190
967	34904	1153
968	34933	1117
969	34966	1081
970	34995	1045
971	35030	1009
972	35059	972
973	35092	936
974	35119	900
975	35149	864
976	35181	828
977	35211	792
978	35240	755
979	35271	719
980	35304	683
981	35335	647
982	35364	611
983	35396	575
984	35428	539
985	35459	503
986	35489	467
987	35516	431
988	35547	395
989	35578	359
990	35610	323
991	35639	287
992	35674	251
993	35706	215
994	35739	179
995	35771	143
996	35806	107
997	35837	71
998	35874	35
999	35905	0
