iter	Logloss
401	0.2326851458
402	0.2326545883
403	0.2326307792
404	0.2325952579
405	0.2325704449
406	0.2325367079
407	0.2325130689
408	0.2324747326
409	0.2324309393
410	0.2323997989
411	0.2323621213
412	0.2323321293
413	0.2322937985
414	0.2322620679
415	0.2322332666
416	0.2321949812
417	0.232158787
418	0.2321307029
419	0.2320976428
420	0.2320600077
421	0.2320220282
422	0.2319897853
423	0.2319605702
424	0.2319317131
425	0.2319066155
426	0.2318758453
427	0.2318518343
428	0.2318029352
429	0.2317667043
430	0.2317442913
431	0.231716696
432	0.2316954213
433	0.2316726192
434	0.2316480819
435	0.2316223874
436	0.2315853374
437	0.2315413383
438	0.2314994471
439	0.2314709795
440	0.2314449813
441	0.231410022
442	0.2313775225
443	0.2313336278
444	0.2313042589
445	0.2312715681
446	0.2312338251
447	0.2311952451
448	0.2311590563
449	0.2311149453
450	0.2310876809
451	0.2310650984
452	0.2310286577
453	0.2310015692
454	0.2309738727
455	0.2309467437
456	0.230919266
457	0.2308866501
458	0.230853883
459	0.2308231421
460	0.230781384
461	0.2307622763
462	0.2307415259
463	0.2306819102
464	0.2306411871
465	0.230614826
466	0.2305752031
467	0.2305569445
468	0.2305377874
469	0.2304965356
470	0.2304738243
471	0.2304298537
472	0.2303857297
473	0.2303542423
474	0.230300154
475	0.2302682427
476	0.2302390543
477	0.2301988234
478	0.2301609028
479	0.2301374544
480	0.2301086833
481	0.2300879637
482	0.2300593374
483	0.2300139517
484	0.229979348
485	0.2299678815
486	0.2299395096
487	0.2299095251
488	0.2298837669
489	0.2298647378
490	0.2298403997
491	0.2298171585
492	0.2297804173
493	0.2297484809
494	0.2297275244
495	0.2296961844
496	0.2296599687
497	0.2296189465
498	0.2295810072
499	0.2295596215
500	0.2295285543
501	0.2294948671
502	0.229448822
503	0.2294098192
504	0.2293876306
505	0.2293616119
506	0.2293250714
507	0.2292999832
508	0.229271549
509	0.2292323343
510	0.229210758
511	0.2291756927
512	0.2291487859
513	0.2291313166
514	0.2290982275
515	0.2290688352
516	0.2290257437
517	0.2289912537
518	0.228965373
519	0.2289536511
520	0.228914425
521	0.2288866247
522	0.2288687384
523	0.228837763
524	0.2287977561
525	0.2287683125
526	0.228743749
527	0.2287165779
528	0.2286701969
529	0.2286371797
530	0.2286151084
531	0.2285963074
532	0.2285571789
533	0.2285370559
534	0.2285049775
535	0.2284611781
536	0.2284286738
537	0.2283935458
538	0.2283637407
539	0.2283344158
540	0.2283100304
541	0.2282949147
542	0.2282661927
543	0.2282438331
544	0.2282029708
545	0.2281854947
546	0.228154908
547	0.2281174163
548	0.2280928082
549	0.2280693127
550	0.2280341453
551	0.2280155653
552	0.2279839102
553	0.2279480309
554	0.2279245847
555	0.2278938492
556	0.2278671104
557	0.2278409504
558	0.227819945
559	0.2277852698
560	0.2277499159
561	0.2277223994
562	0.2277015061
563	0.2276757461
564	0.2276532556
565	0.2276331764
566	0.2276074608
567	0.2275868877
568	0.2275545844
569	0.2275282291
570	0.2274949623
571	0.2274636144
572	0.2274271101
573	0.2274027283
574	0.2273727746
575	0.2273472524
576	0.2273239704
577	0.2272940348
578	0.2272844911
579	0.2272657048
580	0.2272433359
581	0.2272223581
582	0.2272020182
583	0.2271659036
584	0.2271469426
585	0.2271098122
586	0.2270722013
587	0.227040562
588	0.2270260404
589	0.2270003658
590	0.2269641505
591	0.2269278317
592	0.2269068184
593	0.2268834753
594	0.2268453847
595	0.2268151848
596	0.2267865865
597	0.2267569191
598	0.226717359
599	0.2266860617
600	0.2266467834
601	0.2266103371
602	0.2265770707
603	0.2265514441
604	0.2265303165
605	0.2265040948
606	0.226486048
607	0.2264568095
608	0.2264162364
609	0.2263897631
610	0.2263554372
611	0.2263208436
612	0.2262956445
613	0.226274785
614	0.2262505585
615	0.2262318791
616	0.2262020385
617	0.2261672906
618	0.2261447562
619	0.2261196176
620	0.2261054722
621	0.2260726159
622	0.2260430377
623	0.2260307096
624	0.2260128292
625	0.2259804136
626	0.2259564314
627	0.2259183141
628	0.2258922997
629	0.2258561276
630	0.2258441782
631	0.2258073857
632	0.2257765305
633	0.2257386991
634	0.2257055844
635	0.2256799626
636	0.225654386
637	0.225616547
638	0.225585373
639	0.2255624479
640	0.2255326331
641	0.2255046111
642	0.225480522
643	0.2254612042
644	0.2254348356
645	0.2254152519
646	0.2253944019
647	0.2253670023
648	0.2253274102
649	0.2253019743
650	0.2252899219
651	0.2252524337
652	0.2252378851
653	0.2252157932
654	0.2251925339
655	0.2251656304
656	0.2251512947
657	0.2251058335
658	0.2250781775
659	0.2250523935
660	0.2250271762
661	0.2249981204
662	0.2249769528
663	0.2249564753
664	0.2249311167
665	0.2249066137
666	0.2248870677
667	0.2248601019
668	0.2248349835
669	0.2248126462
670	0.2247926608
671	0.2247676584
672	0.2247426704
673	0.2247252004
674	0.2247137843
675	0.2246785675
676	0.2246523418
677	0.2246288556
678	0.2245813449
679	0.2245495068
680	0.2245110429
681	0.2244935762
682	0.2244830904
683	0.2244495525
684	0.2244114054
685	0.2243884885
686	0.2243539022
687	0.2243198969
688	0.2243040133
689	0.2242730564
690	0.2242322443
691	0.2241935411
692	0.2241615226
693	0.2241411952
694	0.2241213425
695	0.2241041136
696	0.2240886477
697	0.224052049
698	0.224037515
699	0.2240271737
700	0.2240002137
701	0.2239769086
702	0.2239564787
703	0.2239131009
704	0.223874733
705	0.2238405462
706	0.2238115439
707	0.2237914954
708	0.2237640666
709	0.2237421254
710	0.2237109351
711	0.2236852724
712	0.2236494377
713	0.2236073617
714	0.2235863393
715	0.2235597028
716	0.2235429053
717	0.2235278687
718	0.2235033867
719	0.2234837493
720	0.223481069
721	0.2234572192
722	0.2234487202
723	0.2234231549
724	0.2234049417
725	0.2233764766
726	0.2233515069
727	0.2233371495
728	0.2233063839
729	0.2232776388
730	0.223262471
731	0.2232346843
732	0.2232203735
733	0.2231940427
734	0.2231773056
735	0.2231491666
736	0.223130348
737	0.2231140855
738	0.2230961904
739	0.2230584091
740	0.2230300519
741	0.2230237149
742	0.2229835162
743	0.2229694122
744	0.2229384285
745	0.222911902
746	0.2228914674
747	0.2228710582
748	0.2228487205
749	0.2228298323
750	0.2228017928
751	0.2227737629
752	0.2227555615
753	0.2227429093
754	0.2227198583
755	0.2226981011
756	0.2226564532
757	0.2226449299
758	0.222614564
759	0.2226054996
760	0.2225667377
761	0.2225340465
762	0.2225108438
763	0.2225096938
764	0.2224787586
765	0.2224563519
766	0.2224344397
767	0.2224194
768	0.222395994
769	0.2223641831
770	0.2223266669
771	0.2222934252
772	0.2222662777
773	0.2222455204
774	0.222219454
775	0.2222013918
776	0.2221888511
777	0.2221744457
778	0.2221541903
779	0.2221337601
780	0.2221073076
781	0.2220912293
782	0.2220657616
783	0.2220431487
784	0.2220270664
785	0.2220135769
786	0.2219878463
787	0.2219799518
788	0.2219519499
789	0.2219385773
790	0.2219133158
791	0.22190215
792	0.2218760526
793	0.2218321673
794	0.2218048733
795	0.2217717447
796	0.2217519068
797	0.2217252655
798	0.2216970514
799	0.221688026
800	0.2216556661
801	0.2216320405
802	0.2216030722
803	0.2215797592
804	0.2215453909
805	0.2215265647
806	0.2215015627
807	0.2214828216
808	0.2214712228
809	0.2214550105
810	0.2214375513
811	0.2214131496
812	0.2213897975
813	0.2213439583
814	0.2213136886
815	0.2212978309
816	0.2212869153
817	0.2212672988
818	0.2212431584
819	0.2212101174
820	0.2211836707
821	0.2211592144
822	0.2211399458
823	0.221115778
824	0.2211037245
825	0.2210619931
826	0.2210532085
827	0.2210237798
828	0.2209975996
829	0.220967431
830	0.2209475941
831	0.2209189648
832	0.2209030485
833	0.2208706054
834	0.2208389183
835	0.2208189849
836	0.2207994082
837	0.2207829562
838	0.2207646076
839	0.2207310909
840	0.2207173193
841	0.220691211
842	0.2206671988
843	0.2206519373
844	0.2206309879
845	0.2206084183
846	0.2205867492
847	0.2205690486
848	0.2205552005
849	0.2205389646
850	0.22051346
851	0.2204932851
852	0.2204657481
853	0.2204559005
854	0.2204455878
855	0.2204187108
856	0.220402287
857	0.220372003
858	0.2203519055
859	0.2203174684
860	0.2202977617
861	0.2202606381
862	0.2202420335
863	0.2202394796
864	0.2202217582
865	0.220200587
866	0.2201661557
867	0.2201520842
868	0.2201309743
869	0.2201066077
870	0.2200896114
871	0.2200800772
872	0.2200685196
873	0.2200315044
874	0.2199998586
875	0.2199804218
876	0.2199638235
877	0.2199404229
878	0.219906544
879	0.2198885122
880	0.2198622983
881	0.2198402683
882	0.2198117339
883	0.2197824315
884	0.219749525
885	0.2197168584
886	0.2196968362
887	0.2196757109
888	0.2196526162
889	0.2196270393
890	0.2195954144
891	0.2195704243
892	0.219550675
893	0.2195359987
894	0.2195088713
895	0.2194763331
896	0.2194621195
897	0.2194480007
898	0.219428197
899	0.2194076557
900	0.2193824915
901	0.2193562709
902	0.2193298956
903	0.2193078051
904	0.2192840094
905	0.2192484019
906	0.2192199234
907	0.2191988945
908	0.2191604653
909	0.2191374735
910	0.2191122253
911	0.2190943552
912	0.2190663088
913	0.2190327376
914	0.2190124266
915	0.2189804633
916	0.2189646685
917	0.2189466231
918	0.2189200031
919	0.2188953727
920	0.21886201
921	0.2188409511
922	0.2188206953
923	0.2187907942
924	0.2187804225
925	0.2187681432
926	0.2187364548
927	0.2187102358
928	0.2186712456
929	0.218652529
930	0.2186240752
931	0.2185952082
932	0.2185768061
933	0.2185476322
934	0.218526043
935	0.2184886214
936	0.218466886
937	0.2184321248
938	0.2183997578
939	0.218360667
940	0.2183340138
941	0.2183191608
942	0.2182896852
943	0.218268285
944	0.2182447872
945	0.218217479
946	0.2181811604
947	0.2181657426
948	0.218145845
949	0.2181311247
950	0.2181065936
951	0.2180759146
952	0.2180483134
953	0.2180382939
954	0.218015778
955	0.2180048949
956	0.217979932
957	0.2179532409
958	0.2179347281
959	0.2179231567
960	0.217906191
961	0.2178779613
962	0.2178577783
963	0.2178197788
964	0.2177930062
965	0.2177771323
966	0.2177579676
967	0.2177406626
968	0.2177251202
969	0.2177072007
970	0.2176949419
971	0.2176727825
972	0.2176496105
973	0.2176225905
974	0.2175986601
975	0.2175863687
976	0.2175527664
977	0.2175289323
978	0.2175114881
979	0.2174864472
980	0.2174517736
981	0.2174355844
982	0.2174214448
983	0.2173955577
984	0.2173760071
985	0.2173582605
986	0.2173354251
987	0.2173220564
988	0.2173101953
989	0.2172883884
990	0.2172693365
991	0.21725459
992	0.2172369908
993	0.2172169097
994	0.2172002788
995	0.2171715661
996	0.2171400115
997	0.2171217613
998	0.2170848946
999	0.2170619561
